
		//雪图事件

		"descent_of_winterblight_aertega"							"艾特嘎"
		"DOTA_Tooltip_modifier_torturok_aura_effect_Description"	"在移动时受到伤害"

		"DOTA_Tooltip_ability_ozubu_passive"						"极致新星"
		"DOTA_Tooltip_ability_ozubu_passive_Description"			"施法者周围不断发生冰冻爆炸."
		"DOTA_Tooltip_ability_ozubu_passive_damage"					"伤害:"
		"DOTA_Tooltip_ability_ozubu_passive_ms_loss"				"移动速度降低:"
		"DOTA_Tooltip_ability_ozubu_passive_as_loss"				"攻击速度降低:"

		"DOTA_Tooltip_ability_winterblight_ozubu_ice_venom"			"冰毒咬伤"
		"DOTA_Tooltip_ability_winterblight_ozubu_ice_venom_Description"	"对目标造成伤害并向其转移1个负的减益."
		"DOTA_Tooltip_ability_winterblight_ozubu_ice_venom_damage"	"伤害:"

		"DOTA_Tooltip_ability_ozubu_spiderling_passive"				"冰毒咬伤"
		"DOTA_Tooltip_ability_ozubu_spiderling_passive_Description"	"在攻击时向目标转移1个负面减益。同时也会留下一个每0.1秒造成伤害的毒药释放效果."
		
		"DOTA_Tooltip_modifier_ozubu_spiderling_poison"				"冰毒咬伤"
		"DOTA_Tooltip_modifier_ozubu_spiderling_poison_Description"	"每0.1秒造成伤害"


		//雪图

		"winterblight_village"											"凛冬村庄"
		"shrine_of_azalea"												"杜鹃花圣地"
		"winterblight_mountain"											"凛冬山脉"
		
		"DOTA_Tooltip_ability_item_rpc_winterblight_glacier_stone"		"凛冬冰川"
		"item_rpc_winterblight_glacier_stone_desc"						"放置在凛冬霜枯山脉的冰雪祭坛之上，就可以增强怪物的力量。"

		"altar_of_ice"												"冰雪祭坛"
		"altar_of_ice_help1"										"一阵寒意的声音出现在你的头上，”释放冰川宝石的寒冷，感受凛冬霜枯山脉的震颤吧！“<br><br><font color='FFFFFF'>一枚宝石: 敌人拥有 99% 的伤害减免，造成的伤害提高 100% 。</font>"
		"altar_of_ice_help2"										"一阵寒意的声音出现在你的头上，”释放冰川宝石的寒冷，感受凛冬霜枯山脉的震颤吧！“<br><br><font color='FFFFFF'>两枚宝石: 敌人拥有 99.9% 的伤害减免，造成的伤害提高 200% 。</font>"
		"altar_of_ice_help3"										"一阵寒意的声音出现在你的头上，”释放冰川宝石的寒冷，感受凛冬霜枯山脉的震颤吧！“<br><br><font color='FFFFFF'>三枚宝石: 敌人拥有 99.999% 的伤害减免，造成的伤害提高 300% 。</font>"

		"buzuki_powerup"											"为所欲为!"

		"villager_dialogue_1"										"山上的空气似乎越来越寒冷。有时我怀疑寒冷最终吞噬我们所有人。."
		"villager_dialogue_2"										"这条小路标志着通往凛冬山顶漫长而又痛苦道路的开始."
		"villager_dialogue_2a"										"你在说什么线索?好吧，你可能只需要静待它出现."
		"villager_dialogue_3"										"在这里之外是另一条蜿蜒上山的路线。然而，这座桥和这座山似乎在黑暗中消失了..."
	
		"winterblight_tuskar_villager"								"村民"
		
		"DOTA_Tooltip_ability_item_rpc_boreal_granite_chunk"				"北地花岗岩石块"
		"item_rpc_boreal_granite_chunk_desc"						"在合成圣器中，用此物品和任意不朽品质的衣服装备合成来获得北地花岗岩胸甲。"

		//雪图技能和BUFF

		"DOTA_Tooltip_modifier_hero_candy_crush"					"颜色连线"
		"DOTA_Tooltip_modifier_hero_candy_crush_Description"		"通过攻击彩色雕像来连接它们。施放法术结束连接."

		"DOTA_Tooltip_modifier_ice_sliding"							"不稳定冰"

		"DOTA_Tooltip_ability_winterblight_crab_spawner_ability"	"雪蟹孵化"
		"DOTA_Tooltip_ability_winterblight_crab_spawner_ability_Description"	"以固定的时间间隔孵化雪蟹"

		"DOTA_Tooltip_ability_winterblight_ogre_armor"				"食人魔盔甲"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_Description"	"减少即将受到的伤害，并在受到多次伤害后进行报复性打击."
		"DOTA_Tooltip_ability_winterblight_ogre_armor_damage_resist"	"伤害抵抗:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_damage"		"抛射球伤害:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_stun_duration"	"抛射球眩晕时间:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_hits_for_counter"	"打击报复:"

		"DOTA_Tooltip_ability_winterblight_raxxus_passive"			"冰霜"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_Description"	"提供被动移动加成。所有的攻击都会在小范围内造成伤害和减速."
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_damage"		"范围伤害:"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_ms_loss"		"冰冻后移速降低:"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_ms_self"		"被动移速加成:"

		"DOTA_Tooltip_ability_winterblight_generic_summon"			"召唤"
		"DOTA_Tooltip_ability_winterblight_generic_summon_Description"	"召唤生物为施法者战斗"

		"DOTA_Tooltip_modifier_mountain_assassin_passive"			"闪避"
		"DOTA_Tooltip_modifier_mountain_assassin_passive_Description"	"有几率闪避受到的攻击"

		"DOTA_Tooltip_ability_assassin_jump"						"冬日旋转"
		"DOTA_Tooltip_ability_assassin_jump_Description"			"以结霜的旋转跳到目标位置."

		"DOTA_Tooltip_ability_assassin_charge_blast"				"冷冰冰的火花"
		"DOTA_Tooltip_ability_assassin_charge_blast_Description"	"充能，然后向目标位置发射一个强大的波。被冲击到的敌人会受到伤害并被消耗魔法."
		"DOTA_Tooltip_ability_assassin_charge_blast_range"			"范围:"
		"DOTA_Tooltip_ability_assassin_charge_blast_mana_burn"		"法力值燃烧:"

		"DOTA_Tooltip_ability_winterblight_wolf_ability"			"雪狼嚎叫"
		"DOTA_Tooltip_ability_winterblight_wolf_ability_Description"	"增加附近盟友的攻击力."
		"DOTA_Tooltip_ability_winterblight_wolf_ability_attacK_damage_increase"				"攻击力提高 %:"

		"DOTA_Tooltip_ability_winterblight_ice_magic_immune_ability"	"冰晶闪烁"
		"DOTA_Tooltip_ability_winterblight_ice_magic_immune_ability_Description"	"在一段时间内获得魔法免疫."

		"DOTA_Tooltip_ability_mountain_glissade"					"瞬步"
		"DOTA_Tooltip_ability_mountain_glissade_Description"		"迅速冲向目标位置."
		"DOTA_Tooltip_ability_mountain_glissade_range"				"滑动范围:"

		"DOTA_Tooltip_ability_winterblight_mountain_dweller_passive"	"冬日暖阳"
		"DOTA_Tooltip_ability_winterblight_mountain_dweller_passive_Description"	"在没有受到伤害1.5秒后，获得生命回复."
		"DOTA_Tooltip_ability_winterblight_mountain_dweller_passive_health_regen"	"生命回复 %:"

		"DOTA_Tooltip_modifier_mountain_dweller_regen"			"冬日暖阳"
		"DOTA_Tooltip_modifier_mountain_dweller_regen_Description"	"增加生命回复"

		"DOTA_Tooltip_ability_winterblight_frostiok_passive"	"冰皮"
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_Description"	"定期向周围的敌人发射雪球。弹射造成伤害，并无限堆叠的层数，增加伤害。只以英雄为目标."
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_damage"			"伤害:"
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_damage_amp_per_stack"	"每层伤害增加:"
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_radius"			"弹射半径:"

		"DOTA_Tooltip_modifier_frostiok_damage_amp"				"冰刺"
		"DOTA_Tooltip_modifier_frostiok_damage_amp_Description"	"增加减伤后的伤害."

		"DOTA_Tooltip_ability_winterblight_marauder_passive"	"掠夺者"
		"DOTA_Tooltip_ability_winterblight_marauder_passive_Description"	"攻击无视护甲."

		"DOTA_Tooltip_ability_frost_colossus_ground_slam"		"猛敲地面"
		"DOTA_Tooltip_ability_frost_colossus_ground_slam_Description"	"短暂的停顿之后，猛击一个区域内的敌人并造成眩晕."
		"DOTA_Tooltip_ability_frost_colossus_ground_slam_damage"	"伤害:"

		"DOTA_Tooltip_ability_winterblight_frost_colossus_passive"	"冰冻保护"
		"DOTA_Tooltip_ability_winterblight_frost_colossus_passive_Description"	"受到致命伤害后，将自己冰冻，直到生命回复至满血."
		"DOTA_Tooltip_ability_winterblight_frost_colossus_passive_stacks"	"被动刷新所需攻击次数:"

		"DOTA_Tooltip_modifier_frostiok_immunity_stacks"			"刷新冰皮所需攻击次数"

		"DOTA_Tooltip_modifier_colossus_restore"					"冰皮"
		"DOTA_Tooltip_modifier_colossus_restore_Description"		"无视伤害并回复生命"

		"DOTA_Tooltip_ability_winterblight_norgok_passive"			"骑士诺戈克"
		"DOTA_Tooltip_ability_winterblight_norgok_passive_Description"	"周期性的增加移动速度，攻击速度和护甲。诺戈克范围内的所有敌人都在0.03秒内被冰霜击中."
		"DOTA_Tooltip_ability_winterblight_norgok_passive_damage"	"冰冻伤害:"
		"DOTA_Tooltip_ability_winterblight_norgok_passive_movespeed"	"移动速度提高:"
		"DOTA_Tooltip_ability_winterblight_norgok_passive_armor"	"护甲提高:"

		"DOTA_Tooltip_ability_purging_ice"							"净化"
		"DOTA_Tooltip_ability_purging_ice_Description"				"点燃一团冰，造成伤害并清除所有的效果"
		"DOTA_Tooltip_ability_purging_ice_damage"					"伤害:"

		"DOTA_Tooltip_ability_winterblight_snowshaker_passive"		"不屈不挠"
		"DOTA_Tooltip_ability_winterblight_snowshaker_passive_Description"	"在非冷却时间抵挡100%伤害。在受到伤害后进入冷却."

		"DOTA_Tooltip_modifier_snowshaker_passive"					"不屈不挠"
		"DOTA_Tooltip_modifier_snowshaker_passive_Description"		"在冷却时间免疫伤害"	

		"DOTA_Tooltip_ability_snowshaker_fissure"					"沟壑"
		"DOTA_Tooltip_ability_snowshaker_fissure_Description"		"对敌人造成伤害和眩晕，并短暂形成一条沟壑."
		"DOTA_Tooltip_ability_snowshaker_fissure_range"				"范围:"
		"DOTA_Tooltip_ability_snowshaker_fissure_fissure_duration"	"沟壑存在时间:"
		"DOTA_Tooltip_ability_snowshaker_fissure_stun_duration"		"眩晕时间:"

		"DOTA_Tooltip_ability_frigid_growth_charge"					"极寒冲击"
		"DOTA_Tooltip_ability_frigid_growth_charge_Description"		"沿着冰面向前冲. 造成冰冻伤害并减速附近敌人."
		"DOTA_Tooltip_ability_frigid_growth_charge_damage"			"伤害:"
		"DOTA_Tooltip_ability_frigid_growth_charge_radius"			"半径:"
		"DOTA_Tooltip_ability_frigid_growth_charge_duration"		"持续时间:"

		"DOTA_Tooltip_modifier_ice_sprint_slow"						"极寒冰冻"
		"DOTA_Tooltip_modifier_ice_sprint_slow_Description"			"减缓"	

		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive"	"树盾"
		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive_Description"	"受到伤害后，获得2秒的护盾，护盾减少受到的伤害并增加生命回复。盾牌在受到50次伤害后被破坏15秒."
		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive_damage_reduc"	"护盾伤害减免:"
		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive_health_regen"	"% 最大生命回复:"

		"DOTA_Tooltip_modifier_frigid_growth_shield"				"树盾"
		"DOTA_Tooltip_modifier_frigid_growth_shield_Description"	"减少受到的伤害,增加生命回复"

		"DOTA_Tooltip_ability_winterblight_summoner_blink"			"召唤者闪烁"
		"DOTA_Tooltip_ability_winterblight_summoner_blink_Description"	"短暂的延迟后，传送到附近随机的敌人身边."

		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive"	"严寒袭击"
		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive_Description"	"减缓敌人的攻击速度和移动速度."
		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive_as_loss"		"攻击速度降低:"
		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive_ms_loss"		"移速降低:"

		"DOTA_Tooltip_modifier_winterblight_chilled"					"严寒"
		"DOTA_Tooltip_modifier_winterblight_chilled_Description"		"攻速移速减缓"

		"DOTA_Tooltip_ability_winterblight_generic_summon2"				"召唤生物"
		"DOTA_Tooltip_ability_winterblight_generic_summon2_Description"	"召唤生物为施法者战斗."	

		"DOTA_Tooltip_ability_bladedancer_jump"							"跳击"
		"DOTA_Tooltip_ability_bladedancer_jump_Description"				"跳到目标位置，并释放冲击波."	
		"DOTA_Tooltip_ability_bladedancer_jump_damage"					"伤害:"	

		"DOTA_Tooltip_ability_winterblight_bear_passive"				"脚镣"
		"DOTA_Tooltip_ability_winterblight_bear_passive_Description"	"脚镣效果下的敌人施放技能,冷却时间增加到30秒."

		"DOTA_Tooltip_modifier_bear_silencer"							"脚镣"
		"DOTA_Tooltip_modifier_bear_silencer_Description"				"施放技能将增加技能冷却时间至30秒"

		"DOTA_Tooltip_ability_winter_satyr_heal"						"神秘的治疗"
		"DOTA_Tooltip_ability_winter_satyr_heal_Description"			"治疗一个盟友的少量HP"

		"DOTA_Tooltip_ability_winterblight_stun_regen"				"耐久"
		"DOTA_Tooltip_ability_winterblight_stun_regen_Description"	"晕眩时恢复生命."
		"DOTA_Tooltip_ability_winterblight_stun_regen_regen_percent"	"生命回复 %:"

		"DOTA_Tooltip_ability_winterblight_frostbite_attack"		"冰冻攻击"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_Description"	"每次攻击都会增加一层冰冻伤害。每0.03秒造成冰冻伤害。伤害为基础技能伤害x冰冻层数的平方."
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_damage"			"基础伤害:"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_max_stacks"		"最大层数:"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_as_loss"		"每层攻击速度降低:"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_ms_loss"		"每层移动速度降低:"

		"DOTA_Tooltip_modifier_frostbite_effect"					"冰冻"
		"DOTA_Tooltip_modifier_frostbite_effect_Description"		"每0.03秒受到伤害乘以冰冻层数的平方。此外降低移动和攻击速度."

		"DOTA_Tooltip_ability_winterblight_luna_blessing"			"月之祝福"
		"DOTA_Tooltip_ability_winterblight_luna_blessing_Description"	"提高附近盟友单位攻击伤害和夜晚视野."
		"DOTA_Tooltip_ability_winterblight_luna_blessing_bonus_night_vision"	"夜晚视野增加:"
		"DOTA_Tooltip_ability_winterblight_luna_blessing_bonus_damage"		"额外伤害:"

		"DOTA_Tooltip_ability_luna_taskmaster_shield"				"月光盾"
		"DOTA_Tooltip_ability_luna_taskmaster_shield_Description"	"减少99.9%受到的伤害。每次造成伤害时损失1层充能."
		"DOTA_Tooltip_ability_luna_taskmaster_shield_charges"		"初始充能数:5"

		"DOTA_Tooltip_modifier_luna_armor"						"月光盾"
		"DOTA_Tooltip_modifier_luna_armor_Description"			"所受伤害大幅减少"

		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive"	"冰霜之力"
		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive_Description"	"每次攻击落地时，获得一个增益效果，增加攻击速度和攻击距离."
		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive_as_per_stack"	"每次攻击速度:"
		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive_range_per_stack"	"每次攻击范围:"

		"DOTA_Tooltip_modifier_azalea_buff"				"冰霜之力"
		"DOTA_Tooltip_modifier_azalea_buff_Description"	"增加攻击范围和攻击速度."

		"DOTA_Tooltip_ability_ice_spectre_passive"				"幽灵燃烧"
		"DOTA_Tooltip_ability_ice_spectre_passive_Description"	"攻击消耗目标法力并基于法力值耗损造成伤害。死后，在一个区域短时间内造成10倍于这个量的火焰伤害."
		"DOTA_Tooltip_ability_ice_spectre_passive_mana_burn"	"法力值燃烧:"

		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive"	"冰霜之力"
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_Description"	"攻击放缓敌人节奏."
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_as_loss"	"攻击速度减少:"
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_ms_loss"	"移动速度减少:"
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_radius"	"半径:"

		"DOTA_Tooltip_ability_ice_hulk_passive"						"冻结"
		"DOTA_Tooltip_ability_ice_hulk_passive_Description"			"1/16概率造成眩晕和纯粹伤害，并在一定范围内造成减速."
		"DOTA_Tooltip_ability_ice_hulk_passive_damage"				"伤害:"	

		"DOTA_Tooltip_ability_winterblight_curse_of_azalea"			"诅咒"
		"DOTA_Tooltip_ability_winterblight_curse_of_azalea_Description"	"对敌人施加诅咒4秒。如果期间敌人施放了技能，就会被沉默."
		"DOTA_Tooltip_ability_winterblight_curse_of_azalea_duration"	"沉默时间:"

		"DOTA_Tooltip_modifier_curse_of_azalea"						"诅咒"
		"DOTA_Tooltip_modifier_curse_of_azalea_Description"			"目标施放技能会被沉默."	

		"DOTA_Tooltip_modifier_curse_of_azalea_effect"				"沉默"

		"DOTA_Tooltip_ability_frost_titan_passive"					"泰坦之力"
		"DOTA_Tooltip_ability_frost_titan_passive_Description"		"被动增加生命回复速度. 增加攻击速度和移动速度."
		"DOTA_Tooltip_ability_frost_titan_passive_as_bonus"			"攻击力提高:"
		"DOTA_Tooltip_ability_frost_titan_passive_ms_bonus"			"移动速度提高:"
		"DOTA_Tooltip_ability_frost_titan_passive_base_regen"		"被动生命回复提高 % :"

		"DOTA_Tooltip_modifier_titan_gods_strength"					"泰坦之力"
		"DOTA_Tooltip_modifier_titan_gods_strength_Description"		"增加攻击速度和移动速度"

		"DOTA_Tooltip_ability_frost_titan_ice_blast"				"大地颤抖"
		"DOTA_Tooltip_ability_frost_titan_ice_blast_Description"	"沿线造成地震"
		"DOTA_Tooltip_ability_frost_titan_ice_blast_damage"			"伤害:"

		"DOTA_Tooltip_ability_winterblight_dimension_spear"			"甩击"
		"DOTA_Tooltip_ability_winterblight_dimension_spear_Description"	"当发动攻击时，减少敌人冷却中技能的技能冷却时间."
		"DOTA_Tooltip_ability_winterblight_dimension_spear_duration"	"冷却时间减少:"

		"DOTA_Tooltip_ability_frost_dragon_breath"					"冰龙气焰"
		"DOTA_Tooltip_ability_frost_dragon_breath_Description"		"喷出火焰降低敌人的移动速度、攻击速度和生命回复速度。生命回复只影响英雄."
		"DOTA_Tooltip_ability_frost_dragon_breath_as_slow"			"攻击速度减少:"
		"DOTA_Tooltip_ability_frost_dragon_breath_ms_slow"			"移动速度减少:"
		"DOTA_Tooltip_ability_frost_dragon_breath_health_regen_percent"	"生命回复速度降低% :"

		"DOTA_Tooltip_modifier_frost_breath_effect"					"冰龙气焰"
		"DOTA_Tooltip_modifier_frost_breath_effect_Description"		"降低移动速度, 攻击速度 和 生命回复速度."	

		

		
		
		
		
		"DOTA_Tooltip_ability_winterblight_azalea_zealot_passive"	"异端"
		"DOTA_Tooltip_ability_winterblight_azalea_zealot_passive_Description"	"根据伤害类型减少伤害。翡翠狂热者减少魔法伤害，蔚蓝狂热者减少物理伤害，而猩红狂热者则减少纯粹伤害。"
		"DOTA_Tooltip_ability_winterblight_azalea_zealot_passive_damage_reduction"	"减少伤害%:"

		"DOTA_Tooltip_ability_winterblight_zealot_blast"			"紫色超声波"
		"DOTA_Tooltip_ability_winterblight_zealot_blast_Description"	"放出一道破坏声波对敌人造成伤害，并且使被击中的敌人的技能冷却时间增加。"
		"DOTA_Tooltip_ability_winterblight_zealot_blast_cooldown_added"	"技能冷却时间增加:"
		"DOTA_Tooltip_ability_winterblight_zealot_blast_damage"			"伤害:"

		"DOTA_Tooltip_ability_winterblight_soulfire_storm"			"灵魂冻结风暴"
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_Description"	"在目标地点产生一波寒冰。被影响的敌人受到持续伤害。释放技能或者被寒冰击中的话会再施加一次持续伤害负面状态。伤害会被增加，数值为层数的平方。（乘法）"
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_wave_damage"	"伤害:"
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_burn_damage"	"持续性伤害技能伤害:"
		
		"DOTA_Tooltip_modifier_cold_seer_wave_burn"				"灵魂冻结"
		"DOTA_Tooltip_modifier_cold_seer_wave_burn_Description"	"受到持续性伤害技能伤害，释放一个技能会增加该持续性伤害层数。"

		"DOTA_Tooltip_ability_winterblight_speed_softening"		"极速软化"
		"DOTA_Tooltip_ability_winterblight_speed_softening_Description"	"只要这个单位的移动速度在临界值之上时，所有受到的伤害将会被大量减少。"
		"DOTA_Tooltip_ability_winterblight_speed_softening_ms_threshold"	"移动速度临界值:"
		"DOTA_Tooltip_ability_winterblight_speed_softening_damage_reduc"	"伤害减少:"

		"DOTA_Tooltip_ability_azalea_crystal_nova"				"冰霜新星"
		"DOTA_Tooltip_ability_azalea_crystal_nova_Description"	"在目标地点产生一道冰霜新星，对区域内敌人造成伤害并且减速他们。"
		"DOTA_Tooltip_ability_azalea_crystal_nova_radius"			"范围:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_movespeed_slow"	"移动速度降低:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_attackspeed_slow"	"攻击速度降低:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_duration"			"减速持续时间:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_nova_damage"		"新星伤害:"

		"DOTA_Tooltip_ability_azalea_maiden_frostbite"			"冰霜禁制"
		"DOTA_Tooltip_ability_azalea_maiden_frostbite_Description"	"指定一个目标，用寒冰包围住目标的双脚，使其无法移动。"
		"DOTA_Tooltip_ability_azalea_maiden_frostbite_damage_per_second_tooltop"	"每秒伤害:"
		"DOTA_Tooltip_ability_azalea_maiden_frostbite_duration"		"持续时间:"

		"DOTA_Tooltip_ability_maiden_magic_shield"				"阿塞莉亚的魔法之盾"
		"DOTA_Tooltip_ability_maiden_magic_shield_Description"	"减少100%的受到的伤害，每当受到一次伤害时会失去一层盾。"
		"DOTA_Tooltip_ability_maiden_magic_shield_charges"		"充能层数:"

		"DOTA_Tooltip_modifier_maiden_armor"				"魔法之盾"
		"DOTA_Tooltip_modifier_maiden_armor_Description"	"减少受到的魔法伤害。"

		"DOTA_Tooltip_ability_zefnar_passive"				"霜灼武器"
		"DOTA_Tooltip_ability_zefnar_passive_Description"	"普通攻击目标时会造成额外的魔法伤害并且缠绕敌人，受到缠绕的敌人每0.1秒受到一次灼烧伤害。"
		"DOTA_Tooltip_ability_zefnar_passive_damage"		"额外伤害:"
		"DOTA_Tooltip_ability_zefnar_passive_burn_damage"	"灼烧伤害:"

		"DOTA_Tooltip_modifier_zefnar_root"					"霜灼禁制"
		"DOTA_Tooltip_modifier_zefnar_root_Description"		"被缠绕了并且每0.1秒受到一次灼烧伤害。"

		"DOTA_Tooltip_ability_winterblight_syphon"			"虹吸"
		"DOTA_Tooltip_ability_winterblight_syphon_Description"	"当前生命值在最大生命值10%以上时免疫所有伤害，每次攻击偷取目标的生命回复。受到伤害时会减少自身生命回复速度，减少数值为最大生命值的百分比。"
		"DOTA_Tooltip_ability_winterblight_syphon_regen_per_stack"	"每次攻击偷取的生命回复速率%:"
		"DOTA_Tooltip_ability_winterblight_syphon_lost_regen"		"当受到伤害时减少的生命回复速率%:"

		"DOTA_Tooltip_modifier_syphist_regen"				"虹吸 (虹吸者)"
		"DOTA_Tooltip_modifier_syphist_regen_Description"	"获得生命回复"

		"DOTA_Tooltip_modifier_syphist_negative"				"虹吸 (负面效果)"
		"DOTA_Tooltip_modifier_syphist_negative_Description"	"失去生命回复"

		"DOTA_Tooltip_modifier_modifier_syphist_regen_opponent"				"虹吸 (对手)"
		"DOTA_Tooltip_modifier_modifier_syphist_regen_opponent_Description"	"减少生命回复"

		"DOTA_Tooltip_ability_source_revenant_passive"			"能量始源"
		"DOTA_Tooltip_ability_source_revenant_passive_Description"	"普通攻击后回复魔法值。每点当前魔法值增加攻击力。"
		"DOTA_Tooltip_ability_source_revenant_passive_damage_per_mana"	"每点当前魔法值给予攻击力:"
		"DOTA_Tooltip_ability_source_revenant_passive_mana_restore_on_attack"	"魔法回复%"

		"DOTA_Tooltip_modifier_source_revenant_attack_power"	"能量始源"
		"DOTA_Tooltip_modifier_source_revenant_attack_power_Description"	"魔法值增加攻击力"

		"DOTA_Tooltip_ability_winterblight_suicidal_skater"		"自杀滑冰者"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_Description"	"在生命值较低时，向最近的敌人跃进，在目标方位自杀并爆炸。"	
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_health_threshold_percent"	"生命值自杀临界%:"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_ms_loss"		"移动速度降低:"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_as_loss"		"攻击速度降低:"

		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage"	"神蚀者"
		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage_Description"	"对被攻击的目标造成数值基于其智力的额外伤害。 该伤害在0.03秒后生效。"
		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage_percentage"	"额外伤害为攻击造成伤害的 % :"
		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage_intelligence"	"基于智力百分比的伤害 (英雄):"
		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage_mana_threshold"	"基于魔法值百分比的伤害 (非英雄单位):"
		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage_max_strikes"		"每次攻击最大冲击次数:"

		"DOTA_Tooltip_ability_winterblight_ghost_striker_passive"	"雪上加霜"
		"DOTA_Tooltip_ability_winterblight_ghost_striker_passive_Description"	"普通攻击将造成额外的数值基于目标丢失生命值的纯粹伤害。"
