		"winterblight_village"											"Деревня Winterblight"
		"DOTA_Tooltip_ability_snowshaker_fissure_fissure_duration"	"ДЛИТЕЛЬНОСТЬ ДЕЙСТВИЯ:"
		"DOTA_Tooltip_ability_snowshaker_fissure_stun_duration"		"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

		"DOTA_Tooltip_ability_frigid_growth_charge"					"Arctic Rush"
		"DOTA_Tooltip_ability_frigid_growth_charge_Description"		"Бросается вперед, скользя по льду. Ледяные взрывы наносят урон и замедляют затетых врагов."
		"DOTA_Tooltip_ability_frigid_growth_charge_damage"			"УРОН:"
		"DOTA_Tooltip_ability_frigid_growth_charge_radius"			"РАДИУС:"
		"DOTA_Tooltip_ability_frigid_growth_charge_duration"		"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_ice_sprint_slow"						"Arctic Chill"
		"DOTA_Tooltip_modifier_ice_sprint_slow_Description"			"Замедлен"	

		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive"	"Birch Shell"
		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive_Description"	"При получении урона, получает щит на 2 секунды, который сокращает входящий урон и увеличивает регенерацию здоровья. Щит может быть сломан, если за 15 секунд нанести урон владельцу щита 50 раз."
		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive_damage_reduc"	"СОПРОТИВЛЕНИЕ УРОНУ ЩИТА:"
		"DOTA_Tooltip_ability_winterblight_frigid_growth_passive_health_regen"	"РЕГЕН. ЗДОРОВЬЯ, % ОТ МАКСИМУМА:"

		"DOTA_Tooltip_modifier_frigid_growth_shield"				"Birch Shell"
		"DOTA_Tooltip_modifier_frigid_growth_shield_Description"	"Снижает получаемый урон и увеличивает регенерацию здоровья"

		"DOTA_Tooltip_ability_winterblight_summoner_blink"			"Summoner Blink"
		"DOTA_Tooltip_ability_winterblight_summoner_blink_Description"	"С небольшой задержкой телепортируется к случайному врагу."

		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive"	"Chill Attack"
		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive_Description"	"Замедляет врага при атаке."
		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive_as_loss"		"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_winterblight_generic_chill_attack_passive_ms_loss"		"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"

		"DOTA_Tooltip_modifier_winterblight_chilled"					"Chilled"
		"DOTA_Tooltip_modifier_winterblight_chilled_Description"		"Скорость атаки и передвижения снижены"

		"DOTA_Tooltip_ability_winterblight_generic_summon2"				"Summon Minion"
		"DOTA_Tooltip_ability_winterblight_generic_summon2_Description"	"Призывает на поле боя миньона."	

		"DOTA_Tooltip_ability_bladedancer_jump"							"Energy Leap"
		"DOTA_Tooltip_ability_bladedancer_jump_Description"				"Прыгает в выбранную точку и образует разрушительную волну по приземлении."	
		"DOTA_Tooltip_ability_bladedancer_jump_damage"					"УРОН:"	

		"DOTA_Tooltip_ability_winterblight_bear_passive"				"Ankle Breaker"
		"DOTA_Tooltip_ability_winterblight_bear_passive_Description"	"Если враг, на которого действует этот эффект использует умение (E), то время перезарядки этого умения составит 30 секунд."

		"DOTA_Tooltip_modifier_bear_silencer"							"Ankle Breaker"
		"DOTA_Tooltip_modifier_bear_silencer_Description"				"С прочтением умения (E), его время перезарядки составит 30 секунд"

		"DOTA_Tooltip_ability_winter_satyr_heal"						"Mystic Healing"
		"DOTA_Tooltip_ability_winter_satyr_heal_Description"			"Немного исцеляет союзника"

		"DOTA_Tooltip_ability_winterblight_stun_regen"				"Endurance"
		"DOTA_Tooltip_ability_winterblight_stun_regen_Description"	"При оглушении получает увеличенную регенерацию здоровья."
		"DOTA_Tooltip_ability_winterblight_stun_regen_regen_percent"	"ДОП. РЕГЕН. ЗДОРОВЬЯ %:"

		"DOTA_Tooltip_ability_winterblight_frostbite_attack"		"Frostbite Attack"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_Description"	"С каждой атакой добавляет заряд этого умения. Снаряды наносят урон каждые 0.3 секунды. Формула урона: базовый урон, умноженный на количество зарядов в степени 2."
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_damage"			"БАЗОВЫЙ УРОН:"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_max_stacks"		"МАКС. ЗАРЯДОВ:"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_as_loss"		"СНИЖЕНИЕ СКОРОСТИ АТАКИ ЗА ЗАРЯД:"
		"DOTA_Tooltip_ability_winterblight_frostbite_attack_ms_loss"		"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ ЗА ЗАРЯД:"

		"DOTA_Tooltip_modifier_frostbite_effect"					"Frostbite"
		"DOTA_Tooltip_modifier_frostbite_effect_Description"		"Получает урон каждые 0.03 секунды, умноженный на количество зарядов в квадрате. Дополнительно снижает скорость передвижения и атаки."

		"DOTA_Tooltip_ability_winterblight_luna_blessing"			"Lunar Blessing"
		"DOTA_Tooltip_ability_winterblight_luna_blessing_Description"	"Добавляет к обычным атакам бонусный урон и даёт ближайшим союзникам ночное зрение."
		"DOTA_Tooltip_ability_winterblight_luna_blessing_bonus_night_vision"	"ДОП. РАДИУС НОЧНОГО ЗРЕНИЯ:"
		"DOTA_Tooltip_ability_winterblight_luna_blessing_bonus_damage"		"ДОП. УРОН:"

		"DOTA_Tooltip_ability_luna_taskmaster_shield"				"Moon Shield"
		"DOTA_Tooltip_ability_luna_taskmaster_shield_Description"	"Сокращает получаемый урон на 99.9%. Теряет 1 заряд каждый раз, когда получает урон."
		"DOTA_Tooltip_ability_luna_taskmaster_shield_charges"		"ЗАРЯДОВ В НАЧАЛЕ:"

		"DOTA_Tooltip_modifier_luna_armor"						"Moon Shield"
		"DOTA_Tooltip_modifier_luna_armor_Description"			"Получаемый урон значительно сокращен"

		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive"	"Frost Fever"
		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive_Description"	"Каждый раз при успешной атаке, получает заряд, который увелиичвает скорость атаки и дальность атаки."
		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive_as_per_stack"	"ДОП. СКОРОСТЬ АТАКИ ЗА ЗАРЯД:"
		"DOTA_Tooltip_ability_winterblight_azalea_sorc_passive_range_per_stack"	"ДОП. ДАЛЬНОСТЬ АТАКИ ЗА ЗАРЯД:"

		"DOTA_Tooltip_modifier_azalea_buff"				"Frost Fever"
		"DOTA_Tooltip_modifier_azalea_buff_Description"	"Скорость атаки и дальность атаки увеличены."

		"DOTA_Tooltip_ability_ice_spectre_passive"				"Spectral Burn"
		"DOTA_Tooltip_ability_ice_spectre_passive_Description"	"Атаки сжигают ману и наносят урон, зависящий от количества выжженой маны. При смерти сжигает десятикратное значение маны от базового вокруг себя с небольшой задержкой."
		"DOTA_Tooltip_ability_ice_spectre_passive_mana_burn"	"СЖИГАЕТ МАНЫ:"

		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive"	"Frost Elemental"
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_Description"	"Замедляет врагов при успешной атаке."
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_as_loss"	"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_ms_loss"	"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_winterblight_frost_elemental_passive_radius"	"РАДИУС:"

		"DOTA_Tooltip_ability_ice_hulk_passive"						"Critical Freeze"
		"DOTA_Tooltip_ability_ice_hulk_passive_Description"			"1/16 шанс, что атака нанесет чистый урон в области и замедлит задетых врагов."
		"DOTA_Tooltip_ability_ice_hulk_passive_damage"				"УРОН:"	

		"DOTA_Tooltip_ability_winterblight_curse_of_azalea"			"Curse of Azalea"
		"DOTA_Tooltip_ability_winterblight_curse_of_azalea_Description"	"Проклинает врага на 4 секунды, но дает иммунитет к этому же проклятью на 9 сек. Если противник произнесет любое заклинание, то он будет обезмолвлен. Если цель невосприимчива к проклятью, оно перескочит на ближайшую доступную цель."
		"DOTA_Tooltip_ability_winterblight_curse_of_azalea_duration"	"ДЛИТЕЛЬНОСТЬ БЕЗМОЛВИЯ:"
		"DOTA_Tooltip_ability_winterblight_curse_of_azalea_damage"		"УРОН:"

		"DOTA_Tooltip_modifier_curse_of_azalea"						"Curse of Azalea"
		"DOTA_Tooltip_modifier_curse_of_azalea_Description"			"С прочтением любого заклинания, проклятый получит эффект безмолвия."	

		"DOTA_Tooltip_modifier_curse_of_azalea_effect"				"Обезмолвлен"

		"DOTA_Tooltip_ability_frost_titan_passive"					"Titanborne"
		"DOTA_Tooltip_ability_frost_titan_passive_Description"		"Пассивно восстанавливает здоровье. Получает бонус, дающий дополнительную скорость атаки и передвижения."
		"DOTA_Tooltip_ability_frost_titan_passive_as_bonus"			"ДОП. СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_frost_titan_passive_ms_bonus"			"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_frost_titan_passive_base_regen"		"ДОП. РЕГЕН. ЗДОРОВЬЯ, %:"

		"DOTA_Tooltip_modifier_titan_gods_strength"					"Titanborne Buff"
		"DOTA_Tooltip_modifier_titan_gods_strength_Description"		"Скорость атаки и передвижения увеличены"

		"DOTA_Tooltip_ability_frost_titan_ice_blast"				"Foundation Shaker"
		"DOTA_Tooltip_ability_frost_titan_ice_blast_Description"	"Создаёт обширное землетрясение в линию от себя"
		"DOTA_Tooltip_ability_frost_titan_ice_blast_damage"			"УРОН:"

		"DOTA_Tooltip_ability_winterblight_dimension_spear"			"Dimension Spear"
		"DOTA_Tooltip_ability_winterblight_dimension_spear_Description"	"При успешной атаке, все перезаряжающиеся вражеские умения получат дополнительное время перезарядки."
		"DOTA_Tooltip_ability_winterblight_dimension_spear_duration"	"ДОП. ВРЕМЯ ПЕРЕЗАРЯДКИ:"

		"DOTA_Tooltip_ability_frost_dragon_breath"					"Azure Breath"
		"DOTA_Tooltip_ability_frost_dragon_breath_Description"		"Дыхание Ледяного Дракона замедляет врагов и снижает регенерацию здоровья. Эффект снижения регенерации здоровья действует только на героев.."
		"DOTA_Tooltip_ability_frost_dragon_breath_as_slow"			"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_frost_dragon_breath_ms_slow"			"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_frost_dragon_breath_health_regen_percent"	"% СНИЖЕНИЕ РЕГЕНЕРАЦИИ ЗДОРОВЬЯ:"

		"DOTA_Tooltip_modifier_frost_breath_effect"					"Azure Breath"
		"DOTA_Tooltip_modifier_frost_breath_effect_Description"		"Скорость передвижения и атаки снижены. Сокращена регенерация здоровья."	

		"DOTA_Tooltip_ability_winterblight_azalea_zealot_passive"	"Heterodox"
		"DOTA_Tooltip_ability_winterblight_azalea_zealot_passive_Description"	"Сокращает получаемый урон в зависимости от окружающих владельца способности фанатиков. Зеленые снижают магический урон, Синие сокращают физический урон, Красные фанатики сокращают чистый урон."
		"DOTA_Tooltip_ability_winterblight_azalea_zealot_passive_damage_reduction"	"СНИЖЕНИЕ УРОНА, %:"

		"DOTA_Tooltip_ability_winterblight_zealot_blast"			"Ultraviolet Sonar"
		"DOTA_Tooltip_ability_winterblight_zealot_blast_Description"	"Звуковая волна наносит урон и добавляет дополнительное время к текущему времени перезарядки умений задетых врагов."
		"DOTA_Tooltip_ability_winterblight_zealot_blast_cooldown_added"	"ДОП. ВРЕМЯ ПЕРЕЗАРЯДКИ:"
		"DOTA_Tooltip_ability_winterblight_zealot_blast_damage"			"УРОН:"

		"DOTA_Tooltip_ability_winterblight_soulfire_storm"			"Soulfrost Storm"
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_Description"	"Создает в выбранной области волну пробивающего душу льда. Пораженные враги получают периодический урон. Прочтение способности или поражение волной дает дополнительный заряд. Урон умножается на количество зарядов в квадрате."
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_wave_damage"	"МГНОВЕННЫЙ УРОН:"
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_burn_damage"	"ПЕРИОДИЧЕСКИЙ УРОН:"
		
		"DOTA_Tooltip_modifier_cold_seer_wave_burn"				"Soulfrost"
		"DOTA_Tooltip_modifier_cold_seer_wave_burn_Description"	"Получает периодический урон. Прочтение способности добавляет заряд."

		"DOTA_Tooltip_ability_winterblight_speed_softening"		"Speed Softening"
		"DOTA_Tooltip_ability_winterblight_speed_softening_Description"	"Сильно сокращает получаемый урон, пока значение скорости передвижения находится выше определенного значения."
		"DOTA_Tooltip_ability_winterblight_speed_softening_ms_threshold"	"ГРАНИЦА СКОРОСТИ:"
		"DOTA_Tooltip_ability_winterblight_speed_softening_damage_reduc"	"СНИЖЕНИЕ УРОНА:"

		"DOTA_Tooltip_ability_azalea_crystal_nova"				"Crystal Nova"
		"DOTA_Tooltip_ability_azalea_crystal_nova_Description"	"Образует в выбранной области всполох льда, наносящий урон и замедляющий задетых врагов."
		"DOTA_Tooltip_ability_azalea_crystal_nova_radius"			"РАДИУС:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_movespeed_slow"	"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_attackspeed_slow"	"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_duration"			"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_azalea_crystal_nova_nova_damage"		"УРОН ВЗРЫВА:"

		"DOTA_Tooltip_ability_azalea_maiden_frostbite"			"Ice Lock"
		"DOTA_Tooltip_ability_azalea_maiden_frostbite_Description"	"Заключает ноги выбранного врага в ледяные оковы, запрещая перемещение."
		"DOTA_Tooltip_ability_azalea_maiden_frostbite_damage_per_second_tooltop"	"ДПС:"
		"DOTA_Tooltip_ability_azalea_maiden_frostbite_duration"		"ДЛИТЕЛЬНОСТь:"

		"DOTA_Tooltip_ability_maiden_magic_shield"				"Azalea's Magic Shield"
		"DOTA_Tooltip_ability_maiden_magic_shield_Description"	"Снижает получаемый магический урон на 1%, за каждый заряд щита. При получении магического урона теряется 1 заряд."
		"DOTA_Tooltip_ability_maiden_magic_shield_charges"		"ЗАРЯДОВ:"

		"DOTA_Tooltip_modifier_maiden_armor"				"Magic Shield"
		"DOTA_Tooltip_modifier_maiden_armor_Description"	"Получаемый магический урон значительно снижен."

		"DOTA_Tooltip_ability_zefnar_passive"				"Frostburn Weapon"
		"DOTA_Tooltip_ability_zefnar_passive_Description"	"Атаки наносят дополнительный магический урон и обездвиживают цель. Обездвиженные враги получают периодический урон каждые 0.1 секунды."
		"DOTA_Tooltip_ability_zefnar_passive_damage"		"МГНОВЕННЫЙ УРОН:"
		"DOTA_Tooltip_ability_zefnar_passive_burn_damage"	"ПЕРИОДИЧЕСКИЙ УРОН:"

		"DOTA_Tooltip_modifier_zefnar_root"					"Frostburn Root"
		"DOTA_Tooltip_modifier_zefnar_root_Description"		"Обездвижен и получает периодический урон"

		"DOTA_Tooltip_ability_winterblight_syphon"			"Syphon Stream"
		"DOTA_Tooltip_ability_winterblight_syphon_Description"	"Невосприимчив к урону, когда уровень здоровья выше 10%. Атаки крадут регенерацию здоровья цели. Получение урона снижает собственную регенерацию здоровья на % от макс. здоровья."
		"DOTA_Tooltip_ability_winterblight_syphon_regen_per_stack"	"КРАЖА % РЕГЕН. ЗДОРОВЬЯ ЗА АТАКУ:"
		"DOTA_Tooltip_ability_winterblight_syphon_lost_regen"		"ПОТЕРЯ % РЕГЕН. ЗДОРОВЬЯ:"

		"DOTA_Tooltip_modifier_syphist_regen"				"Syphon Stream (Syphist)"
		"DOTA_Tooltip_modifier_syphist_regen_Description"	"Украдена регенерация здоровья"

		"DOTA_Tooltip_modifier_syphist_negative"				"Syphon Stream (Negative)"
		"DOTA_Tooltip_modifier_syphist_negative_Description"	"Регенерация здоровья потеряна"

		"DOTA_Tooltip_modifier_modifier_syphist_regen_opponent"				"Syphon Stream (Дебафф)"
		"DOTA_Tooltip_modifier_modifier_syphist_regen_opponent_Description"	"Потеряна регенерация здоровья"

		"DOTA_Tooltip_ability_source_revenant_passive"			"Energy Source"
		"DOTA_Tooltip_ability_source_revenant_passive_Description"	"Восстанавливает ману с каждой успешной атакой. Каждое очко текущей маны увеличивает урон."
		"DOTA_Tooltip_ability_source_revenant_passive_damage_per_mana"	"ДОП. УРОН ЗА КАЖДОЕ ОЧКО МАНЫ:"
		"DOTA_Tooltip_ability_source_revenant_passive_mana_restore_on_attack"	"ВОССТАНОВЛЕНИЕ МАНЫ ЗА АТАКУ, %"

		"DOTA_Tooltip_modifier_source_revenant_attack_power"	"Energy Source"
		"DOTA_Tooltip_modifier_source_revenant_attack_power_Description"	"Увеличивает урон за счет текущего значения маны"

		"DOTA_Tooltip_ability_winterblight_suicidal_skater"		"Suicidal Skater"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_Description"	"При низком значении здоровья, прыгает в сторону ближайшего врага и взрывается."	
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_damage"		"УРОН:"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_health_threshold_percent"	"ГРАНИЦА ЗДОРОВЬЯ ДО ВЗРЫВА, %:"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_ms_loss"		"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_winterblight_suicidal_skater_as_loss"		"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"

		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage"	"Mind Breaker"
		"DOTA_Tooltip_ability_winterblight_mind_breaker_damage_Description"	"Наносит дополнительный урон по цели, зависящий от значения Интеллекта. Частота урона раз в 0.03 секунды."
