	"rpc_tutorial"														"Roshpit Tutorial (Coming Soon)"
	"quest_1_challenge_4_sub_0_summary"									"Open your stars menu by pressing (K)."

	"tutorial_master_dialogue_1_4a"										"Open your stars menu by pressing the blue button at the button right, or by pressing (K) on your keyboard."
	"tutorial_master_dialogue_1_4b"										"The stars menu has opened up at the top left. Each portrait opens up a category of stars."
	"tutorial_master_dialogue_1_4c"										"Stars act as Roshpit's achievement system, tracking your total completion of this game."
	"tutorial_master_dialogue_1_4d"										"There are over 1000 stars, so don't expect to get them all!"

	"tutorial_master_dialogue_1_4e"										"That wraps up this lesson."
	"tutorial_master_dialogue_1_4f"										"Well look at that, looks like you got a star! That wraps up this lesson."

	"quest_1_reward_title"												"Activate Teleporter"       
	"quest_1_reward_description"										"The map's teleporter will always be active when you play the Tutorial Map."

	"quest_reward_available"											"Reward Available"
	"quest_reward_claim"												"Claim Reward"
	"quest_reward_claimed"												"Already Claimed"

	"tutorial_section_completed"										"Complete"

	"quest_reward_label"												"REWARD:"

	"quest_2_interface"													"2. Hero"
	"quest_2_interface_description"										"This lecture will help with understanding the components that make up your hero."

	"quest_2_challenge_1"												"A. Abilities & Runes"
	"quest_2_challenge_2"												"B. Hero Attributes"
	"quest_2_challenge_3"												"C. Saving your Hero"

	"quest_2_reward_title"												"Activate Town NPC's"       
	"quest_2_reward_description"										"Tutorial Map will have its Town NPC's activated permanently; The Oracle, The Blacksmith, Glyph Enchanter, and Curator!"

	"quest_2_challenge_1_desc"											"At the left of the screen is your hero's Ability and Rune summary. If it is closed, open it up with hotkey (L). Runes are passive buffs for your hero and abilties."
	"quest_2_challenge_1_sub_0_summary"									"Listen to Challen's lecture regarding Runes & Abilities, and answer his question."
	"quest_2_challenge_1_sub_1_summary"									"Cast a base ability."
	"quest_2_challenge_1_sub_2_summary"									"Disable a Rune by alt+clicking it."

    "tutorial_master_dialogue_2_1a"										"Look at the left side of your screen."
    "tutorial_master_dialogue_2_1b"										"This is the summary of your Abilities and Runes. If the window is not open, open it with hotkey (L)"                      
    "tutorial_master_dialogue_2_1c"										"The top line shows your Base Abilities. If you have skill points, clicking one in this window will increase its level."
    "tutorial_master_dialogue_2_1d"										"In the bottom section you can view your Runes. Runes are passives that improve your base abilities and your hero."
    "tutorial_master_dialogue_2_1e"										"Runes can be leveled up to 20, but can reach values beyond that from gear bonuses!"
    "tutorial_master_dialogue_2_1f"										"Every level your hero receives 2 additional rune points to allocate. Every 5 levels your hero receives 1 ability point to allocate."
    "tutorial_master_dialogue_2_1g"										"If you have Rune Points available, clicking on a rune will level it up."
    "tutorial_master_dialogue_2_1h"										"Leveling up your base abilities make more of your runes available for upgrade."
    
    "tutorial_master_dialogue_2_1h2"									"Rune points can be re-allocated, so don't worry too much about perfecting your build right now."
    "tutorial_master_dialogue_2_1h3"									"Now let's see if you've been listening."

    "tutorial_master_dialogue_2_1i"										"Correct! I knew you'd be able to read your rune list effectively."
    "tutorial_master_dialogue_2_1j"										"Let's try out your abilities now. Go ahead and cast one of your Base Abilities!"
    "tutorial_master_dialogue_2_1k"										"Great! You will have to use your abilities well in order to defeat your enemies."

    "tutorial_master_dialogue_2_1l"										"There is another handy trick you need to know."
    "tutorial_master_dialogue_2_1m"										"Alt+Click on a rune disables its effect. You may need this in case your Rune's passives are giving you trouble in a specific environment."
  	"tutorial_master_dialogue_2_1n"  									"Go ahead and try disabling a rune!"
    
    "tutorial_master_dialogue_2_1o"										"Good Job. Don't forget to re-enable that rune now!"
    "tutorial_master_dialogue_2_1p"										"That completes the lesson on abilities and runes."

    "tutorial_quiz_wrong_2_1_1"											"Sorry, that is not the correct rune name."
    "tutorial_quiz_wrong_2_1_2"											"That is not the correct rune name, try again."

    "tutorial_quiz_question_1"											"What is the name of your @sub1 rune?"

    "quiz_submit"														"Submit Answer"

    "quest_2_challenge_2_desc"											"Every hero has a Primary Attribute which increases their attack damage. Each attribute provides bonuses whose totals are displayed on the detailed tooltip. The amplification of your Base Q, W, E and R abilities are also displayed on the tooltip."
    "quest_2_challenge_2_sub_0_summary"									"Answer Challen's question on Attribute Bonuses."
    "quest_2_challenge_2_sub_1_summary"									"Pass Challen's attack damage quiz."
    "quest_2_challenge_2_sub_2_summary"									"Answer another one of Challen's questions."
    "quest_2_challenge_2_sub_3_summary"									"Answer challen's base ability damage question."

	"tutorial_master_dialogue_2_2a"										"As we discussed before, your attributes are shown on your hero portrait. Hover over your attributes to get a detailed tooltip of your hero."
	"tutorial_master_dialogue_2_2b"										"In the first row, we can see how many stats your hero is gaining from your attributes."
	"tutorial_master_dialogue_2_2c"										"Let's test your reading comprehension."

	"tutorial_quiz_question_2"											"How much @sub1 are you gaining from @sub2?"

	"tutorial_quiz_wrong_2_2_1"											"I'm sorry, please look at the top row of your attributes tooltip."
	"tutorial_quiz_wrong_2_2_2"											"Incorrect. Hover over your hero attributes and find the answer on the stats tooltip."

	"tutorial_master_dialogue_2_2d"										"Correct! You are a model student, surely."
	"tutorial_master_dialogue_2_2e"										"Your hero has a primary attribute. Each point in that primary attribute increases base attack damage."
	"tutorial_master_dialogue_2_2f"										"Use your math skills and tell me, how much base attack damage does each primary attribute give? Use your tooltip to figure it out!"

	"tutorial_quiz_question_3"											"How much base attack damage does EACH point of your primary attribute add?"

	"tutorial_quiz_wrong_2_2_3"											"Incorrect, please check your stats tooltip and determine how much attack damage you get for each primary attribute."
	"tutorial_quiz_wrong_2_2_4"											"Wrong, use your division skills and tell me how much attack damage you get from each of your primary attributes."

	"tutorial_master_dialogue_2_2g"										"A very good observation. Your base attack bonus damage is 2x your primary attribute."

	"tutorial_master_dialogue_2_2h"										"Let's try finding some additional information. Look below your attributes on the tooltip."
	
	"tutorial_quiz_question_4"											"What is your base @sub1 value?"

	"tutorial_quiz_wrong_2_2_5"											"No that is not right."
	"tutorial_quiz_wrong_2_2_6"											"Wrong. Please look below your attributes to find the required information."

	"tutorial_master_dialogue_2_2i"										"Alright! Now let's go 1 step deeper into our stats panel."
	"tutorial_master_dialogue_2_2j"										"As part of your hero's attack capabilities, located on the left side of the tooltip, we can see our hero's Base Ability Damage."
	"tutorial_master_dialogue_2_2k"										"These percentages state the additional damage amplification of your Q, W, E, and R Base Abilities."
	"tutorial_master_dialogue_2_2l"										"Now tell me the amplification of your Base Ability!"

	"tutorial_quiz_question_5"											"What is the Base Ability Damage for @sub1?"

	"tutorial_quiz_wrong_2_2_7"											"Try again."
	"tutorial_quiz_wrong_2_2_8"											"Wrong. Base ability amplifier can be found on the left side of your attributes tooltip, below the Attack heading."

	"tutorial_master_dialogue_2_2m"										"Haha, very good. That concludes our lesson on hero attributes."

	"quest_2_challenge_3_desc"											"Saving your character is an important step toward gaining power in Roshpit. Speak to the Oracle in town to register your character onto his eternal ledger."
	"quest_2_challenge_3_sub_0_summary"									"Save your hero at the Oracle in town."

	"tutorial_master_dialogue_2_3a"										"Each map's town has an Oracle who can permanently record your hero's progress."
	"tutorial_master_dialogue_2_3b"										"Your hero is not automatically saved at the end of a game session. It has to be registered with the Oracle."	
	"tutorial_master_dialogue_2_3c"										"It is important that you save often so you don't accidentally lose your progress."
	"tutorial_master_dialogue_2_3d"										"Go and save at the Oracle!"
	"tutorial_master_dialogue_2_3e"										"Well done! Now you can load that character in a future game session."
	"tutorial_master_dialogue_2_3f"										"When you load your hero, you can only save it to that same slot. You can overwrite an existing slot by creating a new hero and saving over an old one."
	"tutorial_master_dialogue_2_3g"										"That completes the lesson on saving."

	"quest_3_interface"													"3. Equipment"
	"quest_3_interface_description"										"Here we will learn all about equipment and other items that strengthen your hero."

	"quest_3_challenge_1"												"A. Equipment Basics"
	"quest_3_challenge_2"												"B. The Blacksmith"
	"quest_3_challenge_3"												"C. Weapons"
	"quest_3_challenge_4"												"D. Glyphs"
	"quest_3_challenge_5"												"E. Pool of Eternity"

	"quest_3_challenge_1_desc"											"Equipment is the most important contributor to your hero's effectiveness. You can equip an item by activating it from your inventory. Powerful items have the <font color=\'#E4AE33\'>immortal</font> rarity. Beyond that are the ultra rare <font color=\'#ADE55C\'>arcana</font> items."
	"quest_3_challenge_1_sub_0_summary"									"Equip any piece of gear."
	"quest_3_challenge_1_sub_1_summary"									"Tell Challen which NPC will unequip your gear."
	"quest_3_challenge_1_sub_2_summary"									"Answer Challen's question regarding item rarity."

	"tutorial_master_dialogue_3_1a"										"Equipment will be the primary source of your power."
	"tutorial_master_dialogue_3_1b"										"You can equip an item by activating it from your inventory."
	"tutorial_master_dialogue_3_1b1"									"Here is some low grade item. Why don't you try equipping it?"
	"tutorial_master_dialogue_3_1c"										"Equipped! Remember, you can only unequip an item at The Blacksmith."
	"tutorial_master_dialogue_3_1d"										"Equipping an item while already wearing one will overwrite the existing gear."		
	"tutorial_master_dialogue_3_1e"										"Were you listening? Can you tell me where you can unequip your gear?"

	"tutorial_quiz_question_6"											"Where can you unequip your gear?"
	"tutorial_quiz_question_6_answer"									"blacksmith"

	"tutorial_quiz_wrong_3_1_1"											"No that's not right, the answer is one of the NPC's in town."
	"tutorial_quiz_wrong_3_1_2"											"You know what, maybe you should just restart this tutorial and read what I say next time!"

	"tutorial_master_dialogue_3_1f"										"That's right! Only the blacksmith can remove an item for future use. Equipping a new item to the same slot will overwrite that existing gear."

	"tutorial_master_dialogue_3_1g"										"Look out for items that have a golden halo when they drop on the ground."
	"tutorial_master_dialogue_3_1h"										"These are immortal items, and every strong hero build involves these types."
	"tutorial_master_dialogue_3_1i"										"There is a rarity beyond that called Arcana. They replace skills and runes, which changes the combat style of your hero."
	"tutorial_master_dialogue_3_1j"										"When they drop you will know! A neon green beam reaches out toward the sky and a loud noise is heard in the distance."
	"tutorial_master_dialogue_3_1l"										"Ok, let's see if you were paying attention."	

	"tutorial_quiz_question_7"											"What is the @sub1 gear rarity type called?"
	"tutorial_quiz_question_7_sub_answer1"								"2nd most rare"
	"tutorial_quiz_question_7_sub_answer2"								"rarest"

	"tutorial_quiz_wrong_3_1_5"											"Oh no, that is incorrect. Try again."
	"tutorial_quiz_wrong_3_1_6"											"If you listened to my lecture, this would not be difficult..."

	"tutorial_master_dialogue_3_1m"										"That's right! I think you understand enough about equipment for now. We will end this lesson here."

	"quest_3_challenge_2_desc"											"The blacksmith is an NPC in town that can remove your gear (called chiselling) and can also reroll your immortal items at the cost of Mithril. The blacksmith will lock up to 2 property slots when rerolling at a higher cost of mithril."
	"quest_3_challenge_2_sub_0_summary"									"Chisel (remove) a piece of gear at the blacksmith."
	"quest_3_challenge_2_sub_1_summary"									"Answer the question about rerolling."

	"tutorial_master_dialogue_3_2a"										"The Blacksmith can chisel your equipment off of you, giving you the item back. He charges Mithril Shards for his services."
	"tutorial_master_dialogue_3_2a1"									"Since you are clearly broke, I will provide you with some mithril so that you can actually afford it."
	"tutorial_master_dialogue_3_2b"										"I've dropped a piece of gear in case you need something to chisel. Now go to the blacksmith and chisel one of your items!"

	"tutorial_master_dialogue_3_2c"										"Nice! Now don't forget to re-equip that if it's valuable."
	"tutorial_master_dialogue_3_2d"										"The blacksmith provides another important service, called Rerolling."
	"tutorial_master_dialogue_3_2e"										"If an item is has immortal rarity and is not a weapon, the blacksmith can reroll an item's properties at the cost of mithril."
	"tutorial_master_dialogue_3_2f"										"For an additional fee, he will lock up to 2 property slots so that you may preserve your good rolls."
	"tutorial_master_dialogue_3_2g"										"Since you might not have an immortal, I will not force you to reroll an item for this challenge."
	"tutorial_master_dialogue_3_2h"										"Instead I want you to tell me, up to how many property slots will the blacksmith lock on a piece of gear?"

	"tutorial_quiz_question_8"											"Up to how many property slots will the blacksmith lock when rerolling your gear?"
	"tutorial_quiz_wrong_3_2_3"											"Incorrect. You must brush up on your basic reroll knowledge."
	"tutorial_quiz_wrong_3_2_4"											"No, that is not right."

	"tutorial_master_dialogue_3_2i"										"That's right! Rerolling is a crucial task for acquiring top-tier equipment."
	"tutorial_master_dialogue_3_2j"										"I will note that not all immortals can be rerolled, but most of them can. Try to understand that there are always exceptions!"
	"tutorial_master_dialogue_3_2k"										"You now understand the importance of the blacksmith. The lesson is complete."

	"quest_3_challenge_3_desc"											"Weapons are class specific items that have their own power level and earn EXP. When a weapon levels up, the first two properties are increased by 10% (compounding), and the last 2 properties increase by 1 point. Immortal weapons can drop in the hardest dungeons."
	"quest_3_challenge_3_sub_0_summary"									"Answer a question about your weapon"

	"tutorial_master_dialogue_3_3a"										"Weapons have their own special properties compared to other gear types. For starters, weapons earn exp and have a level. The maximum level it can reach is available in the weapon's tooltip."
	"tutorial_master_dialogue_3_3b"										"When a weapon levels up, its first two properties are increased by 10% of their current values. The last two properties increase by 1."
	"tutorial_master_dialogue_3_3c"										"When you're ready to take on the most challenging dungeons, you will come across immortal weapons which provide class specific bonuses."
	"tutorial_master_dialogue_3_3c1"									"You don't have a weapon equipped? Here, take this one."	
	"tutorial_master_dialogue_3_3d"										"Now take a look at your weapon tooltip and answer me."

	"tutorial_quiz_question_9"											"What is the maximum level of your currently equipped weapon?"
	"tutorial_quiz_wrong_3_3_1"											"Please take a closer look at your weapon's tooltip."
	"tutorial_quiz_wrong_3_3_2"											"You must check your weapon's tooltip to find the answer."

	"tutorial_master_dialogue_3_3e"										"Right! Weapons look different than other gears since they come in red loot boxes. Keep an eye out for them on your journey!"	

	"quest_3_challenge_4_desc"											"Glyphs are magical inscriptions that alter/buff your abilities and runes. Your hero can equip up to 3 glyphs. Neutral glyphs can be equipped by any class. Glyphs can be crafted at the Glyph Enchanter."
	"quest_3_challenge_4_sub_0_summary"									"Purchase any glyph"

	"tutorial_master_dialogue_3_4a"										"Your hero can equip up to 3 glyphs, which are magical inscriptions that provide special passive effects."
	"tutorial_master_dialogue_3_4b"										"Neutral glyphs can be equipped by any hero, and you can't equip 2 of the same glyph."
	"tutorial_master_dialogue_3_4c"										"Glyphs are crafted at the Glyph Enchanter NPC who looks like a Dark Seer."
	"tutorial_master_dialogue_3_4d"										"Why don't you go to town and try purchasing a glyph?"
	"tutorial_master_dialogue_3_4d1"									"Why don't you go to town and try purchasing a glyph? Here are some crystals since you can't quite afford it yet."	
	"tutorial_master_dialogue_3_4d2"									"Get close to the crystals to pick them up!"

	"tutorial_master_dialogue_3_4e"										"Great purchase! You can equip the glyph by dragging it onto your glyph slot at the right side of your screen."	
	"tutorial_master_dialogue_3_4f"										"That completes the lesson on glyphs."	

	"quest_3_challenge_5_desc"											"The pool of eternity is Roshpit's stash system. You can access your pool at The Oracle. You can deposit up to 12 items, or 60 items if you have a Game Pass."
	"quest_3_challenge_5_sub_0_summary"									"Deposit any item into the Pool of Eternity"
	"quest_3_challenge_5_sub_1_summary"									"Withdraw an item from the Pool of Eternity."

	"tutorial_master_dialogue_3_5a"										"Items that you don't have equipped can be saved permanently at your Pool of Eternity."		
	"tutorial_master_dialogue_3_5b"										"To access your pool, speak the Oracle NPC that you visited before to save your character."
	"tutorial_master_dialogue_3_5c"										"Why don't you go ahead and try depositing something into your stash?"

	"tutorial_master_dialogue_3_5d"										"Great, now that item is saved across game sessions!"
	"tutorial_master_dialogue_3_5e"										"Try taking an item out now."

	"tutorial_master_dialogue_3_5f"										"That's it! The Pool of Eternity will certainly be a helpful tool on your journey."

	"quest_3_reward_title"												"3 Low Level Arcanas"       
	"quest_3_reward_description"										"This Galactic Arcana cache will grant you 3 low level items of the highest rarity."

	"quest_4_interface"													"4. Combat"
	"quest_4_interface_description"										"In this lesson we will learn the intricacies of Roshpit Champions' combat."

	"quest_4_challenge_1"												"A. Enemies & Attacking"
	"quest_4_challenge_2"												"B. Damage Types"
	"quest_4_challenge_3"												"C. Base Damage"
	"quest_4_challenge_4"												"D. Elemental Damage"
	"quest_4_challenge_5"												"E. Training Dummy"
	"quest_4_challenge_6"												"F. Post-Mitigation Damage"
	"quest_4_challenge_7"												"G. Buffs, Debuffs and Stuns"

	"quest_4_challenge_1_desc"											"Left clicking on an enemy opens its stats panel allowing you to view its abilities. Right clicking on an enemy issues an attack order. Your hero will keep attacking automatically until the target dies or an alternative order is issued."
	"quest_4_challenge_1_sub_0_summary"									"Inspect the shroomling to find the answer to Challen's question."
	"quest_4_challenge_1_sub_1_summary"									"Slay the shroomling with auto-attacks"

	"tutorial_master_dialogue_4_1a"										"The monsters of Roshpit Champions have unique abilities. Across all monsters there are hundreds of different passives and active abilities."
	"tutorial_master_dialogue_4_1b"										"When approaching an enemy for the first time, it is wise to inspect their abilities and be aware of their capabilities." 
	"tutorial_master_dialogue_4_1c"										"As you gain knowledge of your enemies you will become more cognizant of how to effectively route them."
	"tutorial_master_dialogue_4_1d"										"Here's a vicious Shroomling. Don't get too close yet! We don't know what his powers are!"		
	"tutorial_master_dialogue_4_1e"										"Inspect him first! Tell me, what is this Shroomling's ability?"

	"tutorial_quiz_question_10"											"What is the name of the Shroomling's ability?"

	"DOTA_Tooltip_ability_tutorial_shroomling_ability"					"Fermented"
	"DOTA_Tooltip_ability_tutorial_shroomling_ability_Description"		"This unit can only take damage from regular attacks."

	"tutorial_shroomling"												"Shroomling"

	"tutorial_quiz_wrong_4_1_1"											"Nope, are we even reading from the same ability bar?"
	"tutorial_quiz_wrong_4_1_2"											"That is not the ability name of your enemy."

	"tutorial_master_dialogue_4_1f"										"Right! And the ability's description stated that this enemy can only take damage from regular attacks."
	"tutorial_master_dialogue_4_1g"										"Getting close or dealing damage to an enemy will aggro them. Once aggro'd they never calm back down and will continue chase you!"	
	"tutorial_master_dialogue_4_1h"										"OK, this enemy can only be damaged by regular attacks. Go get him!"

	"tutorial_master_dialogue_4_1i"										"A technical slaying! That concludes the lesson on Enemies & Attacking."

	"quest_4_challenge_2_desc"											"The 3 main damage types are Physical, Magical and Pure. Armor and magic resistance decrease physical and magical damage taken respectively with diminishing returns. Pure damage reduction pierces spell immunity and is more difficult to reduce. "
	"quest_4_challenge_2_sub_0_summary"									"Answer the question about physical damage reduction."
	"quest_4_challenge_2_sub_1_summary"									"Answer the question about damage type reduction"
	"quest_4_challenge_2_sub_2_summary"									"Answer the general question regarding damage types"

	"tutorial_master_dialogue_4_2a"										"There are 3 primary damage types: Physical, Magical and Pure."
	"tutorial_master_dialogue_4_2b"										"Your regular attacks deal physical damage, as well as some abilities."
	"tutorial_master_dialogue_4_2c"										"Physical damage taken is reduced by your armor."
	"tutorial_master_dialogue_4_2d"										"Check your tooltip, how much physical damage is being reduced by your armor?"

	"tutorial_quiz_question_11"											"What is the damage reduction % provided by your armor?"

	"tutorial_quiz_wrong_4_2_1"											"No, check your hero tooltip under the Defense section."
	"tutorial_quiz_wrong_4_2_2"											"I will accept an answer rounded up or down to the nearest whole number."

	"tutorial_master_dialogue_4_2e"										"Yes that's right! Physical attacks can also be dodged by increasing your evasion stat."
	"tutorial_master_dialogue_4_2f"										"Magic damage is reduced by the unit's Magic Armor. Each magic armor provides 1% magical damage reduction with diminishing returns."
	"tutorial_master_dialogue_4_2g"										"Pure damage pierces magic immunity and is difficult to resist. Only some monsters and rare gears can offer pure resistance."	
	"tutorial_master_dialogue_4_2h"										"Some special bonuses will reduce damage taken from a specific damage type."
	"tutorial_master_dialogue_4_2i"										"Use your hero tooltip and tell me your damage type reduction."	

	"tutorial_quiz_question_12"											"What is your % damage taken reduction for the @sub1 damage type?"

	"tutorial_quiz_wrong_4_2_3"											"No, look under 'Additional Resistance' on your hero tooltip."
	"tutorial_quiz_wrong_4_2_4"											"Give me the percentage resistance of this damage type!"

	"tutorial_master_dialogue_4_2j"										"Yes. It is important to note that if two items offer you '50% damage reduction', both of them together equate to a total of 75% reduction."
	"tutorial_master_dialogue_4_2k"										"Ok, I think you know enough about damage types. Except let's ask one more question."

	"tutorial_quiz_question_13"											"Which damage type @sub1?"

	"tutorial_quiz_wrong_4_2_5"											"Wrong."
	"tutorial_quiz_wrong_4_2_6"											"You have a 1/3 chance of getting it right..."

	"tutorial_quiz_question_13_sub1"									"is reduced by armor"
	"tutorial_quiz_question_13_sub2"									"is reduced by 1% with diminishing returns for each resistance point"
	"tutorial_quiz_question_13_sub3"									"pierces magic immunity and has no attribute that reduces it"

	"tutorial_master_dialogue_4_2l"										"Right! Ok then. You know enough about damage types now."

	"quest_4_challenge_3_desc"											"Your base attack damage is the white damage number next to the sword on your UI. Buffs that increase attack damage by a % are shown in an additional value that is displayed in green. Your main abilities have the 'Base Ability' classification and can be amplified by special bonuses."
	"quest_4_challenge_3_sub_0_summary"									"Answer the question about attack damage."
	"quest_4_challenge_3_sub_1_summary"									"Defeat the shroomling army using your abilities."

	"tutorial_master_dialogue_4_3a"										"Your Base Attack Damage is displayed on your hero summary next to the sword icon."
	"tutorial_master_dialogue_4_3b"										"Any buff that increases attack damage by a percentage will show as a green bonus next to the attack damage."
	"tutorial_master_dialogue_4_3c"										"Can you tell me what your bonus attack damage is? If you don't see it on your UI, check your hero tooltip."

	"tutorial_quiz_question_14"											"What is your Bonus Attack Damage value?"

	"tutorial_quiz_wrong_4_3_1"											"No, give me the green number next to your attack damage."
	"tutorial_quiz_wrong_4_3_2"											"That is not your bonus attack value."

	"tutorial_master_dialogue_4_3d"										"Right! Now remember, your abilities also have a 'Base Damage' which can be amplified by special bonuses."
	"tutorial_master_dialogue_4_3e"										"Your base ability damage amplification total shows in your hero tooltip. I already asked you a question about it before."
	"tutorial_master_dialogue_4_3f"										"Instead of a quiz, why don't you use your abilities to fight an army of shroomlings?"
	"tutorial_master_dialogue_4_3g"										"These guys are immune to physical damage, so use your abilities to take them down!"

	"tutorial_master_dialogue_4_3h"										"Good! That concludes the lesson on Base Damage."

	"tutorial_shroomling2"												"Shroomling"

	"DOTA_Tooltip_ability_tutorial_shroomling_ability2"					"Pulpy"
	"DOTA_Tooltip_ability_tutorial_shroomling_ability2_Description"		"Immune to Physical damage."

	"quest_4_challenge_4_desc"											"Most abilities have an elemental damage type. Elemental damage amplification can be seen on the hero tooltip."
	"quest_4_challenge_4_sub_0_summary"									"Answer the question about elemental amplification"
	"quest_4_challenge_4_sub_1_summary"									"Answer the question about your rune's element"
	"quest_4_challenge_4_sub_2_summary"									"Defeat the Omnicrest Elemental"

	"tutorial_master_dialogue_4_4a"										"Damage dealt by your abilities, runes and items usually have an elemental component."
	"tutorial_master_dialogue_4_4b"										"Elemental amplification can be increased by several special bonuses."
	"tutorial_master_dialogue_4_4c"										"Check the bottom part of your hero tooltip."

	"tutorial_quiz_question_14"											"What is your @sub1 amplification value?"

	"tutorial_quiz_wrong_4_4_1"											"That's wrong. Your elemental amplification can be found at the bottom of your hero tooltip."
	"tutorial_quiz_wrong_4_4_2"											"That's just not right. Sorry."

	"tutorial_master_dialogue_4_4d"										"That's right! Be sure to check your ability's elements so that you can take advantage of them."
	"tutorial_master_dialogue_4_4e"										"Some abilities have dual elements which allow them to benefit from both types."
	"tutorial_master_dialogue_4_4f"										"Now let's see if you can read your element names."

	"tutorial_quiz_question_15"											"Name the primary the element of @sub1."

	"tutorial_quiz_wrong_4_4_3"											"That's wrong. Find the ability or rune with that name and tell me its element."
	"tutorial_quiz_wrong_4_4_4"											"Please read your rune description and tell me which element it has."

	"tutorial_master_dialogue_4_4g"										"Right. That should be enough about elemental damage."
	"tutorial_master_dialogue_4_4h"										"Except I want to introduce you to this elemental that I know how to summon."
